,Price,Year,Mileage,State,Vin,Make,Model,Condition
120948,16288,2015,54545,FL,2G1FB1E32F9284364,Chevrolet,Camarocoupe,
120949,19995,2016,17604,TX,2G11Z5SA9G9130915,Chevrolet,Impalals,
120950,5774,2008,125675,IN,2G1WT58K781214125,Chevrolet,Impala4Dr,
120951,20990,2017,17219,MO,2G1105S30H9120402,Chevrolet,Impalalt,
120952,22573,2016,622,CO,1GCNCNEC9GZ402232,Chevrolet,Silverado,
120953,11495,2014,80086,PA,1G1JC6SH8E4194609,Chevrolet,Sonichatchback,
120954,28800,2017,4165,GA,2GNFLGE38H6240856,Chevrolet,Equinoxawd,
120955,14771,2014,78400,IN,1G1125S39EU113487,Chevrolet,Impala2Lt,
120956,15907,2015,65274,TX,2G1FB1E30F9190774,Chevrolet,Camarocoupe,
120957,12894,2014,57113,FL,1G1RA6E44EU129757,Chevrolet,Voltplug-In,
120958,6990,2013,59960,TX,KL8CB6S9XDC531399,Chevrolet,Sparkls,
120959,27988,2017,8692,TN,2GNALDEK3H1546084,Chevrolet,Equinoxfwd,
120960,9849,2014,42334,TX,KL8CD6S99EC501340,Chevrolet,Spark1Lt,
120961,17143,2010,23180,AZ,1GCPKPEX0AZ237480,Chevrolet,Silverado,
120962,20900,2015,20077,AL,1GCNCPEH0FZ302445,Chevrolet,Silverado,
121700,18997,2014,16584,OH,1G11Y5SL5EU125232,Chevrolet,Impalals,
121861,19297,2014,13937,CO,1G11Y5SL0EU121654,Chevrolet,Impalals,
122937,12991,2011,89353,WA,1GCNCPEA4BZ433469,Chevrolet,Silverado,
123153,18797,2014,29526,AZ,2G1FA1E37E9293949,Chevrolet,Camarocoupe,
123722,19397,2014,24559,OH,2G11Y5SLXE9183558,Chevrolet,Impalals,
124033,14500,2010,66374,NM,2G1FE1EVXA9224849,Chevrolet,Camaro2Dr,
124621,19097,2014,33544,NC,2G11Y5SL5E9201836,Chevrolet,Impalals,
124799,21995,2015,6712,TX,2G1FB1E32F9136442,Chevrolet,Camarocoupe,
129052,12500,2010,105000,CA,2G1FB1EV2A9127699,Chevrolet,Camaro2Dr,
131998,16900,2015,40533,WA,1G1PC5SB7F7269381,Chevrolet,Cruze1Lt,
133550,14224,2017,45556,MD,1G1BE5SM6H7103748,Chevrolet,Cruzesedan,
134567,12488,2016,9315,TX,KL8CB6SAXGC571402,Chevrolet,Sparkls,
141563,19197,2014,16364,TX,2G11Y5SL4E9113294,Chevrolet,Impalals,
142268,19997,2014,9414,VA,2G11Y5SL9E9265460,Chevrolet,Impalals,
152610,20297,2014,10043,VA,1G11Y5SLXEU108457,Chevrolet,Impalals,
174640,42890,2016,34449,NE,1GNSCBKC1GR183490,Chevrolet,Tahoe2Wd,
186430,99999,2012,48618,GA,1G1ZB5E09CF258888,Chevrolet,Malibuls,
252342,14929,2016,32175,TX,1FMCU0F75GUA44645,Ford,Escapefwd,
252343,16515,2016,45175,AZ,3FA6P0H93GR316968,Ford,Fusionse,
252344,13752,2016,16674,SC,3FADP4BJ5GM148345,Ford,Fiestasedan,
252345,14650,2014,50450,TN,3FA6P0HD1ER204199,Ford,Fusionse,
252347,14499,2016,21108,FL,1FMCU0GX9GUA19732,Ford,Escapefwd,
252348,16767,2017,9899,CA,1FADP3K2XHL216581,Ford,Focusse,
252349,12700,2014,24840,IN,1FADP3F2XEL437586,Ford,Focussedan,
252351,12497,2014,28096,NC,1FADP3K25EL443656,Ford,Focushatchback,
252354,8490,2013,57933,MD,1FADP3F24DL182433,Ford,Focussedan,
252355,13640,2013,44231,CO,3FA6P0G72DR373223,Ford,Fusions,
252356,7999,2013,60211,MO,3FADP4EJ5DM144447,Ford,Fiestahatchback,
252357,7999,2014,72450,TX,1FADP3E24EL218186,Ford,Focussedan,
252358,13588,2016,22345,TN,1FADP3F24GL320976,Ford,Focussedan,
252359,13902,2016,30364,TX,1FADP3F21GL319896,Ford,Focussedan,
252360,18990,2017,17887,TX,3FA6P0LU4HR258592,Ford,Fusionhybrid,
